"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.930020800E-2,6.223758630E1,2.571955500E1,1.117964487E2,NaN,NaN,1.000000000E2,4.735400009E1
4.144443123E0,6.223768775E1,2.571943561E1,1.228938837E2,0.000000000E0,NaN,8.061247826E0,1.074698448E1
5.144501821E0,6.223767738E1,2.571942968E1,1.214283009E2,0.000000000E0,NaN,5.835718155E0,7.857731342E0
6.144821039E0,6.223768356E1,2.571942982E1,1.212719326E2,3.600000143E-1,3.282999878E2,4.420089722E0,5.543258667E0
7.144967653E0,6.223768229E1,2.571941803E1,1.200642894E2,3.899999857E-1,2.962999878E2,3.877398252E0,4.460319996E0
8.144440830E0,6.223769837E1,2.571939098E1,1.211565214E2,9.300000072E-1,3.053999939E2,3.790092468E0,3.827008724E0
9.145414892E0,6.223769592E1,2.571937210E1,1.194272095E2,9.499999881E-1,2.765000000E2,3.790092468E0,3.397475481E0
1.014450750E1,6.223770645E1,2.571935007E1,1.195309742E2,1.059999943E0,2.795000000E2,3.790092468E0,2.988054991E0
1.114478505E1,6.223771751E1,2.571933255E1,1.204689680E2,1.169999957E0,3.095000000E2,3.790092468E0,2.696009636E0
1.214476947E1,6.223772536E1,2.571931368E1,1.205977556E2,1.129999995E0,3.077000122E2,3.790092468E0,2.500000000E0
1.314452135E1,6.223773241E1,2.571929197E1,1.210509444E2,1.129999995E0,3.096000061E2,3.790092468E0,2.500000000E0
1.414534312E1,6.223774000E1,2.571927321E1,1.212376543E2,1.009999990E0,3.152999878E2,3.790092468E0,2.500000000E0
1.514520213E1,6.223774839E1,2.571925244E1,1.219573235E2,1.100000024E0,3.118999939E2,3.790092468E0,2.500000000E0
1.614517958E1,6.223775505E1,2.571923044E1,1.216971331E2,1.100000024E0,3.061000061E2,3.790092468E0,2.500000000E0
1.714492562E1,6.223776212E1,2.571920836E1,1.220423507E2,1.110000014E0,3.042000122E2,3.790092468E0,2.500000000E0
1.814492150E1,6.223776904E1,2.571918576E1,1.222504833E2,1.129999995E0,3.051000061E2,3.790092468E0,2.500000000E0
1.914503353E1,6.223777639E1,2.571916388E1,1.220557230E2,1.149999976E0,3.083999939E2,3.790092468E0,2.500000000E0
2.014513098E1,6.223778406E1,2.571914222E1,1.220323497E2,1.139999986E0,3.133999939E2,3.790092468E0,2.500000000E0
2.114463848E1,6.223779234E1,2.571912262E1,1.221535082E2,1.169999957E0,3.148999939E2,3.790092468E0,2.500000000E0
2.214435234E1,6.223779628E1,2.571910168E1,1.205064755E2,1.059999943E0,2.893999939E2,3.790092468E0,2.500000000E0
2.314530286E1,6.223779451E1,2.571907708E1,1.188996001E2,1.100000024E0,2.555000000E2,3.790092468E0,2.500000000E0
2.414478218E1,6.223779041E1,2.571905527E1,1.175873403E2,1.000000000E0,2.436000061E2,3.790092468E0,2.500000000E0
2.514534916E1,6.223778735E1,2.571903453E1,1.161135210E2,1.000000000E0,2.428000031E2,3.790092468E0,2.500000000E0
2.614535978E1,6.223778461E1,2.571901259E1,1.145421678E2,1.039999962E0,2.451999969E2,3.790092468E0,2.500000000E0
2.714520504E1,6.223778365E1,2.571899020E1,1.128899439E2,1.070000052E0,2.541000061E2,3.790092468E0,2.500000000E0
2.814525025E1,6.223778345E1,2.571896988E1,1.110754893E2,1.029999971E0,2.546999969E2,3.790092468E0,2.500000000E0
2.914514556E1,6.223778200E1,2.571894984E1,1.096056384E2,1.059999943E0,2.568999939E2,3.790092468E0,2.500000000E0
3.014517712E1,6.223778732E1,2.571892927E1,1.097524298E2,1.200000048E0,2.910000000E2,3.790092468E0,2.500000000E0
3.114476160E1,6.223779722E1,2.571891415E1,1.100460749E2,1.029999971E0,3.047999878E2,3.790092468E0,2.500000000E0
3.214536160E1,6.223780562E1,2.571889809E1,1.098923923E2,1.009999990E0,2.990000000E2,3.790092468E0,2.500000000E0
3.314538546E1,6.223781202E1,2.571888205E1,1.102621461E2,1.009999990E0,2.981000061E2,3.790092468E0,2.666231871E0
3.414448072E1,6.223781911E1,2.571886403E1,1.107255891E2,1.129999995E0,3.071000061E2,3.790092468E0,2.527650118E0
3.514445973E1,6.223782528E1,2.571884780E1,1.107362118E2,1.019999981E0,3.028999939E2,3.790092468E0,2.602570295E0
3.614464947E1,6.223782921E1,2.571882999E1,1.107302926E2,1.019999981E0,2.968999939E2,3.790092468E0,2.695481062E0
3.714485467E1,6.223783507E1,2.571881211E1,1.114903657E2,1.070000052E0,3.091000061E2,3.790092468E0,2.524563074E0
3.814461571E1,6.223784228E1,2.571879524E1,1.111300174E2,1.100000024E0,3.145000000E2,3.790092468E0,2.500000000E0
3.914446962E1,6.223784898E1,2.571877916E1,1.107625277E2,1.000000000E0,3.128999939E2,3.790092468E0,2.500000000E0
4.014447816E1,6.223785608E1,2.571876636E1,1.100387152E2,1.000000000E0,3.155000000E2,3.790092468E0,2.500000000E0
4.114461228E1,6.223786328E1,2.571874995E1,1.100573952E2,1.070000052E0,3.045000000E2,3.790092468E0,2.500000000E0
4.214466155E1,6.223787474E1,2.571873292E1,1.112965367E2,1.139999986E0,3.132999878E2,3.790092468E0,2.500000000E0
4.314517733E1,6.223788499E1,2.571871568E1,1.113993860E2,1.220000029E0,3.145000000E2,3.790092468E0,2.500000000E0
4.414508988E1,6.223789446E1,2.571869712E1,1.116706917E2,1.190000057E0,3.100000000E2,3.790092468E0,2.500000000E0
4.514494993E1,6.223790544E1,2.571867717E1,1.125835999E2,1.210000038E0,3.082999878E2,3.790092468E0,2.500000000E0
4.614506634E1,6.223791535E1,2.571866021E1,1.129149036E2,1.100000024E0,3.142999878E2,3.790092468E0,2.500000000E0
4.714480998E1,6.223792307E1,2.571864401E1,1.126525170E2,1.049999952E0,3.126000061E2,3.790092468E0,2.500000000E0
4.814506691E1,6.223793145E1,2.571862681E1,1.129768617E2,1.190000057E0,3.148999939E2,3.790092468E0,2.500000000E0
4.914472410E1,6.223793966E1,2.571860825E1,1.130891091E2,1.139999986E0,3.092999878E2,3.790092468E0,2.500000000E0
